Shanta Shelke,Poet,10/19/1922,India
Sonali Bendre,Model,1/1/1975,India
Indira Gandhi,Politician,11/19/1917,India
Baby Halder,Writer,6/19/1973,India
Genelia D'Souza,Actor,8/5/1982,India
Kirron Kher,Stage Actor,6/14/1955,India
Sania Mirza,Tennis Player,11/15/1986,India
Mahasweta Devi,Human Rights Activist,1/14/1926,British India
Aishwarya R. Dhanush,Film Director,1/1/1982,India
Aruna Irani,Actor,5/3/1952,India
Preity Zinta,Film Actor,1/31/1975,India
Urvashi,Actor,1/25/1967,India
Madhuri Dixit,Film Actor,5/15/1967,India
Malaika Arora,Actor,10/23/1975,India
Mandakini,Actor,7/30/1969,India
Mary Kom,Boxer,3/1/1983,India
Shruti Haasan,Actor,1/28/1986,India
Leela Majumdar,Translator,2/26/1908,India
Sujata Nahar,Writer,12/12/1925,India
Mother Meera,Academic,12/26/1960,India
Nayantara Sahgal,Journalist,5/10/1927,India
Soha Ali Khan,Film Actor,10/4/1978,India
Padmini,Film Actor,6/12/1932,India
Mahadevi Varma,Poet,3/26/1907,British India
Kiran Mazumdar-Shaw,Brewmaster,3/23/1953,India
Meena Kumari,Actor,8/1/1933,British India
Asin,Model,10/26/1985,India
Mira Nair,Actor,10/15/1957,India
Saina Nehwal,Badminton Player,3/17/1990,India
Ashwini Ponnappa,Badminton Player,9/18/1989,India
Kamala Markandaya,Journalist,6/23/1924,India
Prajakta Sawant,Badminton Player,10/28/1992,India
Suman Deodhar,Badminton Player,1930-00-00,India
Seeta Devi,Actor,1/1/1912,India
Tanuja Chandra,Author,1/1/1969,India
Cleophis,Actor,-400,India
Neha Ahuja,Alpine Skier,9/27/1981,India
Bina Rai,Actor,6/4/1931,India
Nur Jahan,Poet,1577-05-31,India
Nandita Das,Film Director,11/7/1969,India
Mary Ann Gomes,Chess Player,9/19/1989,India
B. R. Meenakshi,Badminton Player,9/20/1979,India
Arundhathi Subramaniam,Poet,1/1/1973,India
Sarah-Jane Dias,Actor,12/3/1982,India
Pooja Bhatt,Actor,2/24/1972,India
Ranganayaki Rajagopalan,Musician,5/3/1932,India
Roop Kanwar,,1/1/1969,India
Li Gotami Govinda,Painter,4/22/1906,India
Rohini Hattangadi,Actor,4/11/1951,India
Kalpana Saroj,Industrialist,1/1/1961,India
Pradnya Gadre,Badminton Player,10/17/1990,India
Silk Smitha,Actor,12/2/1960,India
Remya Nambeesan,Actor,1/1/1986,India
Morin Mathias,Badminton Player,1950-00-00,India
Neelima Chowdary,Badminton Player,9/15/1977,India
Bombayla Devi Laishram,Archer,2/22/1985,India
Smita Bansal,Actor,2/21/1977,India
Sakshi Tanwar,Model,1/12/1973,India
Vibha Anand,Actor,9/8/1990,India
Megha,Singer,3/18/1987,India
P. V. Sharada,Badminton Player,4/12/1972,India
Raageshwari,Actor,7/25/1977,India
Shweta Mohan,Singer,11/19/1986,India
Sadhana Sargam,Actor,3/7/1974,India
Mamta Mohandas,Actor,11/14/1984,India
P. Susheela,Actor,11/13/1935,India
Anna Katharina Valayil,Singer,2/14/1986,India
Hansika Motwani,Actor,8/9/1991,India
Reema Sen,Actor,10/29/1981,India
Sushila Kapadia,Badminton Player,1/1/1932,India
Tillotama Shome,Actor,1/1/2000,India
Madhur Jaffrey,Television Actor,8/13/1933,India
Anila Dalal,Translator,10/21/1933,India
Falguni Pathak,Singer,3/12/1964,India
Manjari Desai,Actor,,India
Zoya Akhtar,Film Director,1/9/1974,India
Gulabo Sapera,Dancer,1960-00-00,India
Sadhana Shivdasani,Actor,9/2/1941,India
Aranmula Ponnamma,Actor,4/8/1915,India
Nivedita Bhasin,Aircraft Pilot,1/1/1963,India
Ambika Soni,Politician,11/13/1942,India
Radhika Jha,Novelist,1/1/1970,India
Shivshakti Sachdev,Actor,5/21/1993,India
Saroj Khan,Choreographer,11/22/1948,India
Soundarya,Actor,7/18/1972,India
Rambha,Actor,6/5/1976,India
Neha Dhupia,Model,8/27/1980,India
Jaya Prada,Actor,4/3/1962,India
B. Saroja Devi,Actor,1/7/1938,India
Sucheta Kripalani,Politician,6/25/1908,India
Lakshmi Rai,Actor,5/5/1989,India
Saritha,Voice Actor,1/5/1959,India
Reema Malhotra,Cricketer,10/17/1980,India
Mirabehn,Academic,1892-11-22,India
Nandana Sen,Actor,8/19/1967,India
Harmanpreet Kaur,Cricketer,3/8/1989,India
Nadhiya,Actor,11/2/1968,India
Sukumari,Actor,10/6/1940,India
Saranya Mohan,Actor,2/9/1989,India
Rakhi Sawant,Model,11/25/1978,India
Irawati Karve,Anthropologist,12/15/1905,India
Jiah Khan,Actor,2/20/1988,United States Of America
Vinaya Prasad,Actor,6/25/1966,India
Preeti Jhangiani,Actor,8/18/1980,India
Malika Pukhraj,Singer,1/1/1912,India
Krishna Sobti,Writer,2/18/1925,India
Kesarbai Kerkar,Singer,1892-07-13,India
Mogubai Kurdikar,Singer,7/15/1904,India
Kapila Vatsyayan,Politician,12/25/1928,India
Barkha Dutt,News Presenter,12/18/1971,India
Bharathi Vishnuvardhan,Actor,1/15/1951,India
Bhadda Kundalakesa,Academic,-550,India
Deepali Joshi-Shah,Voice Actor,1/1/1976,India
Hard Kaur,Singer,7/29/1979,United Kingdom
Urmila Kanetkar- Kothare,Actor,5/4/1986,India
Vibhavari Deshpande,Writer,2/1/1979,India
Drashti Dhami,Actor,1/10/1985,India
Aastha Chaudhary,Television Actor,7/20/1988,India
Bharati Mukherjee,Writer,7/27/1940,United States Of America
Aamani,Actor,11/16/1973,India
Aasiya Kazi,Television Actor,12/12/1991,India
Aarti Chhabria,Actor,11/21/1987,India
Abhinayashree,Actor,8/1/1988,India
Abhinaya,Actor,11/13/1991,India
Abitha,Actor,,India
Adah Sharma,Actor,5/11/1992,India
Akkamma Devi,Politician,1918-00-00,India
Aideu Handique,Actor,6/27/1915,India
Akshaya,Actor,,India
Ambika Sao,Politician,,India
Alka Kubal,Actor,9/23/1965,India
Alia Bhatt,Film Actor,3/15/1993,United Kingdom
Amrapali Dubey,Actor,1/11/1987,India
Anchal Sabharwal,Actor,8/29/1986,India
Angela Jonsson,Actor,2/28/1990,India
Anju Chaudhuri,Painter,1944-00-00,India
Ankita Bhambri,Tennis Player,10/28/1986,India
Annu Tandon,Politician,11/15/1957,India
Anu Vaidyanathan,Triathlete,1/1/1984,India
Anuja Jung,Sport Shooter,8/6/1971,India
Anuja Patil,Cricketer,6/28/1992,India
Anita Raj,Actor,2/28/1963,India
Ankita Raina,Tennis Player,1/11/1993,India
Annapoorna,Actor,1/1/1948,India
Aparajita Mohanty,Actor,5/15/1965,India
Aparna Sindhoor,Choreographer,,India
Aparna Nair,Actor,11/30/1989,India
Anuradha Mehta,Actor,4/8/1981,India
Anupama Verma,Actor,7/2/1981,India
Aparajita Adhya,Actor,2/2/1970,India
Arati Prabhakar,Engineer,2/2/1959,United States Of America
Diana Penty,Actor,11/2/1985,India
Aruna Mucherla,Actor,9/13/1965,India
Arundhati Virmani,Author,1/1/1957,India
Arundathi Nag,Film Director,7/6/1956,India
Ashwini Bhide-Deshpande,Singer,10/7/1960,India
Attia Hosain,Writer,1/1/1913,India
B. Sandhya,Author,9/27/1963,India
B. Valarmathi,Politician,10/20/1957,India
Bapsybanoo Pavry,Socialite,1902-00-00,India
Barbara Ramusack,Author,11/5/1937,India
Barnita Bagchi,Author,6/12/1973,India
Bangalore Nagarathnamma,Singer,1878-11-03,India
Bharathi Baskar,,,India
Bhanwari Devi,Academic,,India
Bhargavi,Actor,1983-00-00,India
Bhavna Khatri,Actor,3/24/1987,India
Biba Singh,Singer,,India
Bimal Kaur Khalsa,Nurse,,India
Bornali Kalita,Singer,8/31/1978,India
Dolly Minhas,Model,2/8/1968,India
Brinda Somaya,Architect,6/28/1949,India
Bratati Bandyopadhyay,Spoken Word Artist,,India
Bindiya Goswami,Actor,1/6/1962,India
Bina Agarwal,Economist,1/1/1951,India
Smita Talwalkar,Film Producer,9/5/1954,India
Puja Banerjee,Model,2/6/1987,India
Chanchal Bharti,Singer,,India
Chandni,Actor,,India
Chandrayee Ghosh,Actor,1/1/1970,India
Chandresh Kumari,Politician,2/1/1944,India
Charul Malik,Journalist,1/1/1978,India
Chitra K. Soman,Athletics Competitor,7/10/1983,India
Sathyavani Muthu,Politician,2/15/1923,India
Daisy Hasan,Academic,,India
Chityala Ailamma,Politician,1/1/1919,India
Damayanti Joshi,Dancer,9/5/1928,India
Deblina Chatterjee,Actor,5/21/1993,India
Deepa Marathe,Cricketer,11/25/1972,India
Deepika Chikhalia,Politician,4/29/1965,India
Deepali Kishore,Singer,1/6/1989,India
Deepti Omchery Bhalla,Choreographer,,India
Devika Bhagat,Author,10/25/1979,India
Devika Chawla,Singer,,India
Devika,Actor,4/25/1943,India
Devita Saraf,Businessperson,6/25/1981,India
Devika Palshikar,Cricketer,6/20/1979,India
Nita Kapoor,Politician,11/24/1956,India
Divya Tewar,Judoka,8/1/1984,India
Dhansika,Actor,11/20/1989,India
Dina Wadia,Politician,8/14/1919,India
Dwaram Lakshmi,Singer,,India
Firdaus Dadi,Actor,7/26/1980,India
G. Kamalamma,Biographer,1/1/1930,India
Gagandeep Kaur,Archer,1/1/1994,India
Gauahar Khan,Model,8/23/1981,India
Geeta Kapur,Dancer,7/5/1973,India
Giaa Manek,Actor,2/18/1986,India
Gurmeet Kaur,Athletics Competitor,6/20/1970,India
Gyan Sudha Misra,Judge,4/28/1949,India
Gursharan Kaur,Singer,9/13/1937,India
Hira Solanki,Politician,,India
Rita Chowdhury,Novelist,8/20/1960,India
Indra Kumari,Politician,1/15/1947,India
Isha Talwar,Actor,12/22/1987,India
Jaishree Misra,Writer,1/1/1961,India
Jayalalitha,Actor,7/2/1965,India
Jasmine Simhalan,Martial Artist,11/13/1970,India
Jaya Re,Actor,,India
Jaya Thyagarajan,Painter,12/29/1954,India
Jayashree Patanekar,Singer,7/13/1943,India
Jayshreeben Patel,Politician,6/22/1959,India
Jeevitha,Actor,5/24/1966,India
Jyoti Sunita Kullu,Field Hockey Player,9/9/1978,India
Jyoti Kirit Parikh,Scientist,3/22/1941,India
Joshna Chinappa,Squash Player,9/15/1986,India
K. Kavitha,Politician,3/13/1978,India
K. M. Beenamol,Athletics Competitor,8/15/1975,India
Kabita Sinha,Author,10/16/1931,British India
Kalpana Iyer,Actor,4/17/1955,India
Kamala Das Gupta,Activist,3/11/1907,British India
Kamla Devi Patle,Politician,5/5/1966,India
Kalpana,Actor,6/5/1965,India
Kanika Kapoor,Singer,8/21/1981,India
Kavita Jain,Politician,9/2/1972,India
Konda Surekha,Politician,8/19/1965,India
Kothainayaki Ammal,Writer,12/1/1901,India
Kul Sidhu,Actor,,India
Radhika Kumaraswamy,Actor,11/11/1986,India
L. Jaya Sudha,Politician,6/19/1975,India
Kunika,Actor,1/1/1960,India
Lakshmi N. Menon,Politician,1899-03-27,India
Lakshmi Menon,Actor,5/19/1996,India
Lakshmi Parvathi,Author,9/14/1955,India
Lalitha Kumaramangalam,Politician,1/1/1958,India
Lalita Lajmi,Painter,10/17/1932,India
Lata Usendi,Politician,,India
Mothey Vedakumari,Politician,9/24/1931,India
Lissy Samuel,Cricketer,12/11/1967,India
Lalitha Lenin,Author,7/17/1946,India
Latika Katt,Sculptor,3/12/1954,India
Leela Mishra,Actor,1/1/1908,British India
Lekha Washington,Actor,2/15/1984,India
Leela Dube,Anthropologist,3/27/1923,India
M. K. Binodini Devi,Author,2/6/1922,India
Lorna Cordeiro,Singer,8/9/1944,India
Madhavi Pattanayak,Poet,,India
Madhu Sapre,Model,7/14/1971,India
Maharani Swarnamoyee,Writer,1838-01-01,India
Madhavi Sardesai,Academic,7/7/1962,India
Mahe Jabeen,Author,1/1/1961,India
Mallika Kapoor,Actor,1/1/1985,India
Malati Bedekar,Author,3/18/1905,India
Mallika Yunis,Writer,,India
Mamta Kharab,Field Hockey Player,1/26/1982,India
Mamata Shankar,Actor,1/7/1955,India
Malati Choudhury,Social Worker,7/26/1904,India
Mallika Sengupta,Author,1/1/1960,India
Mandy Takhar,Actor,5/1/1987,India
Manikuntala Sen,Politician,12/11/1910,India
Manjula Vijayakumar,Actor,9/9/1953,India
Manjit Tiwana,Writer,1/1/1947,India
Manjari Phadnis,Model,7/10/1983,India
Mary Pickford,Physiologist,8/14/1902,India
Mata Nihal Kaur,,,India
Meera Vasudevan,Actor,1/29/1982,India
Meghana Narayan,Swimmer,5/11/1984,India
Meghana Raj,Film Actor,5/3/1990,India
Mirai Chatterjee,Social Worker,1/1/1959,India
Mina Swaminathan,Academic,3/29/1933,India
Minati Sen,Politician,10/2/1943,India
Mithu Alur,Academic,3/27/1943,India
Mohsina Kidwai,Politician,1/1/1932,India
Monalisa Baruah Mehta,Table Tennis Player,,India
Mrunalini Desai,Writer,,India
Muktha,Actor,11/19/1991,India
Mona Thiba,Actor,,India
Mona Vasu,Actor,10/15/1982,India
Mugdha Godse,Actor,7/26/1986,India
Mythili Kumar,Dancer,,United States Of America
Mumtaz Sorcar,Actor,9/15/1986,India
Nandini Bhaktavatsala,Actor,1/1/1974,India
Namita Gokhale,Author,1/1/1956,India
Navnindra Behl,Actor,10/30/1949,India
Nazima,Actor,6/14/1948,India
Nazneen Ghaani,Actor,,India
Neela Satyanarayanan,Civil Servant,2/5/1948,India
Neecia Majolly,Musician,,India
Neha Aggarwal,Table Tennis Player,1/11/1990,India
Neelu Vaghela,Actor,4/15/1970,India
Ngangbam Soniya Chanu,Weightlifter,2/15/1980,India
Nilanjana S. Roy,Writer,1/1/1971,India
Nirmla Kumari Shaktawat,Politician,1938-00-00,India
Neelima Azeem,Actor,12/2/1959,India
Nilima Sen,Singer,1/1/1928,British India
Nidhi Razdan,News Presenter,4/11/1978,India
Nivedita Joshi,Actor,6/6/1965,India
Oviya,Actor,4/29/1991,India
P. S. Keerthana,Actor,8/17/1992,India
Pallavi Subhash,Actor,6/9/1984,India
Paramita Roy,Film Director,12/25/1962,India
Parvathamma Rajkumar,Film Producer,12/6/1939,India
Pattu Rajagopalan,Singer,,India
Paromita Banerjee,Fashion Designer,,India
Paroma Banerji,Actor,,India
Parno Mittra,Actor,10/31/1989,India
Paoli Dam,Actor,10/4/1980,India
Perin Jamsetjee Mistri,Architect,1913-00-00,India
Pervin Shroff,Scientist,,India
Kumkum Mohanty,Dancer,9/10/1946,India
Poile Sengupta,Author,1/1/1948,India
Pop Shalini,Singer,1/1/1984,India
Pradnya Daya Pawar,Writer,2/11/1966,India
Pramila Dandavate,Politician,8/27/1928,India
Pooja Gaur,Actor,6/1/1991,India
Pooja Salvi,Actor,3/25/1988,India
Poornima Indrajith,Actor,12/13/1980,India
Poonam Bajwa,Actor,4/5/1989,India
Prachi Tehlan,Netballer,10/2/1989,India
Prarthana Behere,Actor,1983-07-00,India
Prastuti Parashar,Actor,12/15/1981,India
Pratima Kumari,Weightlifter,1/30/1976,India
Pravrajika Shraddhaprana,Academic,1918-00-00,India
Prema Cariappa,Politician,7/15/1951,India
Priya Bapat,Actor,9/18/1986,India
Preeti Sagar,Singer,2000-00-00,India
Priya Kanungo,Singer,,India
Priya Ravichandran,Civil Servant,,India
Priya Rajvansh,Actor,1937-00-00,India
Pushpa Devi Singh,Politician,5/18/1948,India
Priyal Gor,Actor,11/2/1994,India
Pushpavalli,Actor,1/3/1925,India
R. Shyamala,Politician,,India
R. Leema Rose,Politician,,India
Radha Mangeshkar,Singer,7/29/1981,India
Radhika Chaudhari,Actor,10/20/1987,India
Rj Ophelia,Radio Personality,,India
Ragasya,Actor,9/25/1988,India
Rajashree Choudhury,Yogi,5/7/1965,India
Rajeshwari Sachdev,Actor,4/14/1975,India
Rajkumari Surajkala,Politician,,India
Rajwinder Kaur,Sprinter,12/22/1988,India
Ramani Nallathambi,Politician,,India
Ramya Sri,Actor,8/15/1977,India
Ranjitha,Actor,6/4/1975,India
Rashi Bunny,Actor,,India
Rasoolan Bai,Singer,1/1/1902,India
Rashmi Bansal,Academic,1/1/1985,India
Reetika Khera,Economist,,India
Reshma Gandhi,Cricketer,12/16/1974,India
Ritu Nanda,Businessperson,10/30/1948,India
Reena Bhardwaj,Singer,,United Kingdom
Renu Saikia,Actor,12/10/1934,India
Rekha Bhardwaj,Singer,1/23/1964,India
Rinki Bhattacharya,Film Director,1/1/1942,India
Richa Chadha,Actor,12/18/1986,India
Rushyendramani,Actor,1/1/1917,India
Roshni Nadar,Businessperson,1/1/1982,India
Yamini Krishnamurthy,Dancer,12/20/1940,India
Sabira Merchant,Actor,8/7/1942,India
Sahana Devi,Singer,1897-00-00,British India
Saba Azad,Actor,1990-00-00,India
Sahiti G,Singer,2/12/1987,India
Sangita Dabir,Cricketer,1/22/1971,India
Sangeetha Katti,Singer,10/7/1970,India
Sanchita Bhattacharya,Singer,2/19/1992,India
Sangeeta Kumari Singh Deo,Politician,12/3/1961,India
Sanjjanaa,Model,10/10/1983,India
Sanaya Irani,Actor,9/17/1983,India
Santosh Chowdhary,Politician,10/5/1944,India
Sapna Awasthi,Singer,,India
Sanusha,Actor,11/3/1994,India
Sapna Bhavnani,Hairdresser,1/5/1971,India
Saroja Ramamrutham,Actor,1931-00-00,India
Seema Azmi,Actor,,India
Shantipriya,Actor,3/27/1966,India
Seema,Actor,5/22/1957,India
Shabnam Virmani,Author,,India
Neha,Actor,4/18/1975,India
Sharan Rani Backliwal,Music Pedagogue,4/9/1929,India
Shivani Bhai,Actor,5/26/1988,India
Shaoli Mitra,Actor,,India
Shernaz Patel,Actor,,India
Shazia Ilmi,Journalist,1/1/1970,India
Shobana Jeyasingh,Choreographer,3/26/1957,United Kingdom
Shubha Tole,Neuroscientist,1967-08-00,India
Shonali Bose,Film Director,6/3/1965,India
Shraddha Arya,Actor,8/17/1987,India
